date_x,home_team_x,away_team_x,home_score,away_score,tournament,city,country,neutral,key,date_y,home_team_y,away_team_y,winner,first_shooter
1967-08-22,India,Taiwan,1,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True,1967-08-22_India_Taiwan,1967-08-22,India,Taiwan,Taiwan,unknown
1971-11-14,South Korea,Vietnam Republic,1,1,King's Cup,Bangkok,Thailand,True,1971-11-14_South Korea_Vietnam Republic,1971-11-14,South Korea,Vietnam Republic,South Korea,unknown
1972-05-17,Thailand,South Korea,1,1,AFC Asian Cup,Bangkok,Thailand,False,1972-05-17_Thailand_South Korea,1972-05-17,Thailand,South Korea,South Korea,unknown
1973-06-14,Guinea,Mali,1,1,African Cup of Nations qualification,Conakry,Guinea,False,1973-06-14_Guinea_Mali,1973-06-14,Guinea,Mali,Guinea,unknown
1973-06-14,Mauritius,Tanzania,1,1,African Cup of Nations qualification,Port Louis,Mauritius,False,1973-06-14_Mauritius_Tanzania,1973-06-14,Mauritius,Tanzania,Mauritius,unknown
1973-07-26,Cambodia,Singapore,1,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True,1973-07-26_Cambodia_Singapore,1973-07-26,Cambodia,Singapore,Singapore,unknown
1973-08-09,India,Vietnam Republic,1,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True,1973-08-09_India_Vietnam Republic,1973-08-09,India,Vietnam Republic,Vietnam Republic,unknown
1974-03-28,Qatar,United Arab Emirates,1,1,Gulf Cup,Kuwait City,Kuwait,True,1974-03-28_Qatar_United Arab Emirates,1974-03-28,Qatar,United Arab Emirates,Qatar,unknown
1974-10-09,Syria,Morocco,1,1,Kuneitra Cup,Damascus,Syria,False,1974-10-09_Syria_Morocco,1974-10-09,Syria,Morocco,Morocco,unknown
1976-12-22,South Korea,Malaysia,1,1,King's Cup,Bangkok,Thailand,True,1976-12-22_South Korea_Malaysia,1976-12-22,South Korea,Malaysia,Malaysia,unknown
1977-01-09,Tunisia,Morocco,1,1,FIFA World Cup qualification,Tunis,Tunisia,False,1977-01-09_Tunisia_Morocco,1977-01-09,Tunisia,Morocco,Tunisia,unknown
1977-03-22,Argentina,Iran,1,1,Real Madrid 75th Anniversary Cup,Madrid,Spain,True,1977-03-22_Argentina_Iran,1977-03-22,Argentina,Iran,Argentina,unknown
1977-07-27,Iran,Morocco,1,1,Beijing International Friendship Tournament,Beijing,China PR,True,1977-07-27_Iran_Morocco,1977-07-27,Iran,Morocco,Iran,unknown
1979-01-13,Guinea-Bissau,Mali,1,1,Amílcar Cabral Cup,Bissau,Guinea-Bissau,False,1979-01-13_Guinea-Bissau_Mali,1979-01-13,Guinea-Bissau,Mali,Mali,unknown
1980-06-21,Italy,Czechoslovakia,1,1,UEFA Euro,Naples,Italy,False,1980-06-21_Italy_Czechoslovakia,1980-06-21,Italy,Czechoslovakia,Czechoslovakia,Italy
1982-02-21,Ivory Coast,Togo,1,1,West African Cup,Cotonou,Benin,True,1982-02-21_Ivory Coast_Togo,1982-02-21,Ivory Coast,Togo,Togo,unknown
1982-02-22,Ivory Coast,Burkina Faso,1,1,West African Cup,Cotonou,Benin,True,1982-02-22_Ivory Coast_Burkina Faso,1982-02-22,Ivory Coast,Burkina Faso,Burkina Faso,unknown
1982-03-19,Libya,Ghana,1,1,African Cup of Nations,Tripoli,Libya,False,1982-03-19_Libya_Ghana,1982-03-19,Libya,Ghana,Ghana,unknown
1982-11-27,Uganda,Kenya,1,1,CECAFA Cup,Kampala,Uganda,False,1982-11-27_Uganda_Kenya,1982-11-27,Uganda,Kenya,Kenya,unknown
1983-02-27,Mali,Guinea,1,1,Friendly,Bamako,Mali,False,1983-02-27_Mali_Guinea,1983-02-27,Mali,Guinea,Mali,unknown
1983-07-18,Hong Kong,Thailand,1,1,Great Wall Cup,Beijing,China PR,True,1983-07-18_Hong Kong_Thailand,1983-07-18,Hong Kong,Thailand,Thailand,unknown
1983-12-15,Ivory Coast,Mali,1,1,Friendly,Abidjan,Ivory Coast,False,1983-12-15_Ivory Coast_Mali,1983-12-15,Ivory Coast,Mali,Ivory Coast,unknown
1984-03-28,Iraq,Qatar,1,1,Gulf Cup,Muscat,Oman,True,1984-03-28_Iraq_Qatar,1984-03-28,Iraq,Qatar,Iraq,unknown
1984-06-24,Denmark,Spain,1,1,UEFA Euro,Lyon,France,True,1984-06-24_Denmark_Spain,1984-06-24,Denmark,Spain,Spain,Denmark
1984-11-28,Ghana,Togo,1,1,West African Cup,Ouagadougou,Burkina Faso,True,1984-11-28_Ghana_Togo,1984-11-28,Ghana,Togo,Ghana,unknown
1984-12-08,Kenya,Somalia,1,1,CECAFA Cup,Mbale,Uganda,True,1984-12-08_Kenya_Somalia,1984-12-08,Kenya,Somalia,Kenya,unknown
1984-12-13,Saudi Arabia,Iran,1,1,AFC Asian Cup,Kallang,Singapore,True,1984-12-13_Saudi Arabia_Iran,1984-12-13,Saudi Arabia,Iran,Saudi Arabia,unknown
1984-12-16,Chad,Equatorial Guinea,1,1,UDEAC Cup,Brazzaville,Congo,True,1984-12-16_Chad_Equatorial Guinea,1984-12-16,Chad,Equatorial Guinea,Chad,unknown
1984-12-16,Iran,Kuwait,1,1,AFC Asian Cup,Kallang,Singapore,True,1984-12-16_Iran_Kuwait,1984-12-16,Iran,Kuwait,Kuwait,unknown
1985-04-16,Mozambique,Malawi,1,1,African Cup of Nations qualification,Maputo,Mozambique,False,1985-04-16_Mozambique_Malawi,1985-04-16,Mozambique,Malawi,Mozambique,unknown
1985-07-10,Bahrain,Qatar,1,1,Arab Cup,Taif,Saudi Arabia,True,1985-07-10_Bahrain_Qatar,1985-07-10,Bahrain,Qatar,Bahrain,unknown
1985-08-25,Mali,Guinea,1,1,Friendly,Bamako,Mali,False,1985-08-25_Mali_Guinea,1985-08-25,Mali,Guinea,Guinea,unknown
1986-06-21,Brazil,France,1,1,FIFA World Cup,Guadalajara,Mexico,True,1986-06-21_Brazil_France,1986-06-21,Brazil,France,France,Brazil
1986-06-22,Spain,Belgium,1,1,FIFA World Cup,Puebla,Mexico,True,1986-06-22_Spain_Belgium,1986-06-22,Spain,Belgium,Belgium,Spain
1987-06-21,South Korea,Australia,1,1,Korea Cup,Seoul,South Korea,False,1987-06-21_South Korea_Australia,1987-06-21,South Korea,Australia,South Korea,unknown
1987-12-13,Malawi,Zimbabwe,1,1,CECAFA Cup,Addis Ababa,Ethiopia,True,1987-12-13_Malawi_Zimbabwe,1987-12-13,Malawi,Zimbabwe,Zimbabwe,unknown
1987-12-27,Ethiopia,Zimbabwe,1,1,CECAFA Cup,Addis Ababa,Ethiopia,False,1987-12-27_Ethiopia_Zimbabwe,1987-12-27,Ethiopia,Zimbabwe,Ethiopia,unknown
1988-01-06,South Korea,Egypt,1,1,Friendly,Doha,Qatar,True,1988-01-06_South Korea_Egypt,1988-01-06,South Korea,Egypt,South Korea,unknown
1988-03-23,Algeria,Nigeria,1,1,African Cup of Nations,Rabat,Morocco,True,1988-03-23_Algeria_Nigeria,1988-03-23,Algeria,Nigeria,Nigeria,unknown
1988-03-26,Morocco,Algeria,1,1,African Cup of Nations,Casablanca,Morocco,False,1988-03-26_Morocco_Algeria,1988-03-26,Morocco,Algeria,Algeria,unknown
1988-03-31,Germany,Sweden,1,1,Friendly,Berlin,Germany,False,1988-03-31_Germany_Sweden,1988-03-31,Germany,Sweden,Sweden,unknown
1988-05-05,Mali,Senegal,1,1,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True,1988-05-05_Mali_Senegal,1988-05-05,Mali,Senegal,Mali,unknown
1988-07-21,Iraq,Syria,1,1,Arab Cup,Amman,Jordan,True,1988-07-21_Iraq_Syria,1988-07-21,Iraq,Syria,Iraq,unknown
1988-10-16,Eswatini,Tanzania,1,1,African Cup of Nations qualification,Mbabane,Eswatini,False,1988-10-16_Eswatini_Tanzania,1988-10-16,Eswatini,Tanzania,Eswatini,unknown
1989-11-12,Iraq,Uganda,1,1,Friendly,Kuwait City,Kuwait,True,1989-11-12_Iraq_Uganda,1989-11-12,Iraq,Uganda,Iraq,unknown
1990-01-28,Nigeria,Senegal,1,1,Friendly,Bauchi,Nigeria,False,1990-01-28_Nigeria_Senegal,1990-01-28,Nigeria,Senegal,Nigeria,unknown
1990-02-04,United States,Colombia,1,1,Friendly,Miami,United States,False,1990-02-04_United States_Colombia,1990-02-04,United States,Colombia,Colombia,unknown
1990-07-03,Italy,Argentina,1,1,FIFA World Cup,Naples,Italy,False,1990-07-03_Italy_Argentina,1990-07-03,Italy,Argentina,Argentina,Italy
1990-07-04,Germany,England,1,1,FIFA World Cup,Turin,Italy,True,1990-07-04_Germany_England,1990-07-04,Germany,England,Germany,England
1990-08-03,China PR,South Korea,1,1,Dynasty Cup,Beijing,China PR,False,1990-08-03_China PR_South Korea,1990-08-03,China PR,South Korea,South Korea,unknown
1990-12-17,Tanzania,Uganda,1,1,Friendly,Zanzibar,Zanzibar,True,1990-12-17_Tanzania_Uganda,1990-12-17,Tanzania,Uganda,Uganda,unknown
1991-01-23,Ivory Coast,Cameroon,1,1,Dakar Tournament,Dakar,Senegal,True,1991-01-23_Ivory Coast_Cameroon,1991-01-23,Ivory Coast,Cameroon,Ivory Coast,unknown
1991-06-16,Italy,Russia,1,1,Friendly,Solna,Sweden,True,1991-06-16_Italy_Russia,1991-06-16,Italy,Russia,Italy,unknown
1991-09-20,Fiji,Solomon Islands,1,1,South Pacific Games,Lae,Papua New Guinea,True,1991-09-20_Fiji_Solomon Islands,1991-09-20,Fiji,Solomon Islands,Fiji,unknown
1992-06-27,Cuba,Martinique,1,1,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,True,1992-06-27_Cuba_Martinique,1992-06-27,Cuba,Martinique,Martinique,unknown
1992-11-08,China PR,United Arab Emirates,1,1,AFC Asian Cup,Hiroshima,Japan,True,1992-11-08_China PR_United Arab Emirates,1992-11-08,China PR,United Arab Emirates,China PR,unknown
1993-01-23,Japan,Switzerland,1,1,Friendly,Hong Kong,Hong Kong,True,1993-01-23_Japan_Switzerland,1993-01-23,Japan,Switzerland,Switzerland,unknown
1993-02-24,Argentina,Denmark,1,1,CONMEBOL–UEFA Cup of Champions,Mar del Plata,Argentina,False,1993-02-24_Argentina_Denmark,1993-02-24,Argentina,Denmark,Argentina,unknown
1993-05-28,Martinique,Saint Kitts and Nevis,1,1,CFU Caribbean Cup,Montego Bay,Jamaica,True,1993-05-28_Martinique_Saint Kitts and Nevis,1993-05-28,Martinique,Saint Kitts and Nevis,Martinique,unknown
1993-06-26,Colombia,Uruguay,1,1,Copa América,Guayaquil,Ecuador,True,1993-06-26_Colombia_Uruguay,1993-06-26,Colombia,Uruguay,Colombia,Colombia
1993-06-27,Brazil,Argentina,1,1,Copa América,Guayaquil,Ecuador,True,1993-06-27_Brazil_Argentina,1993-06-27,Brazil,Argentina,Argentina,Brazil
1994-01-29,Burkina Faso,Guinea,1,1,Friendly,Ouagadougou,Burkina Faso,False,1994-01-29_Burkina Faso_Guinea,1994-01-29,Burkina Faso,Guinea,Burkina Faso,unknown
1994-07-05,Mexico,Bulgaria,1,1,FIFA World Cup,East Rutherford,United States,True,1994-07-05_Mexico_Bulgaria,1994-07-05,Mexico,Bulgaria,Bulgaria,Mexico
1995-01-10,Denmark,Mexico,1,1,Confederations Cup,Riyadh,Saudi Arabia,True,1995-01-10_Denmark_Mexico,1995-01-10,Denmark,Mexico,Denmark,unknown
1995-01-13,Mexico,Nigeria,1,1,Confederations Cup,Riyadh,Saudi Arabia,True,1995-01-13_Mexico_Nigeria,1995-01-13,Mexico,Nigeria,Mexico,unknown
1995-07-16,Paraguay,Colombia,1,1,Copa América,Montevideo,Uruguay,True,1995-07-16_Paraguay_Colombia,1995-07-16,Paraguay,Colombia,Colombia,Colombia
1995-07-23,Uruguay,Brazil,1,1,Copa América,Montevideo,Uruguay,False,1995-07-23_Uruguay_Brazil,1995-07-23,Uruguay,Brazil,Uruguay,Uruguay
1995-12-06,Ethiopia,Zanzibar,1,1,CECAFA Cup,Kampala,Uganda,True,1995-12-06_Ethiopia_Zanzibar,1995-12-06,Ethiopia,Zanzibar,Zanzibar,unknown
1995-12-07,Honduras,Costa Rica,1,1,UNCAF Cup,San Salvador,El Salvador,True,1995-12-07_Honduras_Costa Rica,1995-12-07,Honduras,Costa Rica,Honduras,unknown
1996-01-28,Gabon,Tunisia,1,1,African Cup of Nations,Durban,South Africa,True,1996-01-28_Gabon_Tunisia,1996-01-28,Gabon,Tunisia,Tunisia,unknown
1996-02-22,Japan,Sweden,1,1,Lunar New Year Cup,So Kon Po,Hong Kong,True,1996-02-22_Japan_Sweden,1996-02-22,Japan,Sweden,Sweden,unknown
1996-06-05,Martinique,Suriname,1,1,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,True,1996-06-05_Martinique_Suriname,1996-06-05,Martinique,Suriname,Martinique,unknown
1996-06-26,England,Germany,1,1,UEFA Euro,London,England,False,1996-06-26_England_Germany,1996-06-26,England,Germany,Germany,England
1996-08-25,Ethiopia,Uganda,1,1,African Cup of Nations qualification,Addis Ababa,Ethiopia,False,1996-08-25_Ethiopia_Uganda,1996-08-25,Ethiopia,Uganda,Ethiopia,unknown
1996-11-29,Sudan,Kenya,1,1,Friendly,Khartoum,Sudan,False,1996-11-29_Sudan_Kenya,1996-11-29,Sudan,Kenya,Sudan,unknown
1996-12-12,Croatia,Czech Republic,1,1,King Hassan II Tournament,Casablanca,Morocco,True,1996-12-12_Croatia_Czech Republic,1996-12-12,Croatia,Czech Republic,Croatia,unknown
1996-12-21,Iran,Kuwait,1,1,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True,1996-12-21_Iran_Kuwait,1996-12-21,Iran,Kuwait,Iran,unknown
1997-02-07,Russia,Serbia,1,1,Lunar New Year Cup,So Kon Po,Hong Kong,True,1997-02-07_Russia_Serbia,1997-02-07,Russia,Serbia,Russia,unknown
1997-04-10,India,Iraq,1,1,Nehru Cup,Kochi,India,False,1997-04-10_India_Iraq,1997-04-10,India,Iraq,Iraq,unknown
1997-06-22,Ecuador,Mexico,1,1,Copa América,Cochabamba,Bolivia,True,1997-06-22_Ecuador_Mexico,1997-06-22,Ecuador,Mexico,Mexico,Ecuador
1997-07-10,Trinidad and Tobago,Jamaica,1,1,CFU Caribbean Cup,St. John's,Antigua and Barbuda,True,1997-07-10_Trinidad and Tobago_Jamaica,1997-07-10,Trinidad and Tobago,Jamaica,Trinidad and Tobago,unknown
1997-10-22,Cuba,Cameroon,1,1,Friendly,Port-au-Prince,Haiti,True,1997-10-22_Cuba_Cameroon,1997-10-22,Cuba,Cameroon,Cuba,unknown
1998-01-31,Egypt,South Korea,1,1,King's Cup,Bangkok,Thailand,True,1998-01-31_Egypt_South Korea,1998-01-31,Egypt,South Korea,South Korea,unknown
1998-01-31,Iran,Chile,1,1,Lunar New Year Cup,So Kon Po,Hong Kong,True,1998-01-31_Iran_Chile,1998-01-31,Iran,Chile,Iran,unknown
1998-02-21,Burkina Faso,Tunisia,1,1,African Cup of Nations,Ouagadougou,Burkina Faso,False,1998-02-21_Burkina Faso_Tunisia,1998-02-21,Burkina Faso,Tunisia,Burkina Faso,unknown
1998-07-07,Brazil,Netherlands,1,1,FIFA World Cup,Marseille,France,True,1998-07-07_Brazil_Netherlands,1998-07-07,Brazil,Netherlands,Brazil,Brazil
1999-05-22,Malawi,Namibia,1,1,COSAFA Cup qualification,Blantyre,Malawi,False,1999-05-22_Malawi_Namibia,1999-05-22,Malawi,Namibia,Namibia,unknown
1999-07-10,Paraguay,Uruguay,1,1,Copa América,Asunción,Paraguay,False,1999-07-10_Paraguay_Uruguay,1999-07-10,Paraguay,Uruguay,Uruguay,Uruguay
1999-07-13,Uruguay,Chile,1,1,Copa América,Asunción,Paraguay,True,1999-07-13_Uruguay_Chile,1999-07-13,Uruguay,Chile,Uruguay,Uruguay
1999-07-18,Eswatini,Zimbabwe,1,1,COSAFA Cup,Lobamba,Eswatini,False,1999-07-18_Eswatini_Zimbabwe,1999-07-18,Eswatini,Zimbabwe,Eswatini,unknown
1999-07-31,Namibia,South Africa,1,1,COSAFA Cup,Windhoek,Namibia,False,1999-07-31_Namibia_South Africa,1999-07-31,Namibia,South Africa,Namibia,unknown
1999-08-07,Zambia,Mozambique,1,1,COSAFA Cup,Lusaka,Zambia,False,1999-08-07_Zambia_Mozambique,1999-08-07,Zambia,Mozambique,Zambia,unknown
1999-08-28,Namibia,Eswatini,1,1,COSAFA Cup,Windhoek,Namibia,False,1999-08-28_Namibia_Eswatini,1999-08-28,Namibia,Eswatini,Namibia,unknown
2000-02-04,Romania,Georgia,1,1,Cyprus International Tournament,Larnaca,Cyprus,True,2000-02-04_Romania_Georgia,2000-02-04,Romania,Georgia,Romania,unknown
2000-04-30,British Virgin Islands,Antigua and Barbuda,1,1,Friendly,Road Town,British Virgin Islands,False,2000-04-30_British Virgin Islands_Antigua and Barbuda,2000-04-30,British Virgin Islands,Antigua and Barbuda,Antigua and Barbuda,unknown
2000-05-10,Maldives,Sri Lanka,1,1,Friendly,Malé,Maldives,False,2000-05-10_Maldives_Sri Lanka,2000-05-10,Maldives,Sri Lanka,Sri Lanka,unknown
2000-05-21,Barbados,Cuba,1,1,FIFA World Cup qualification,Bridgetown,Barbados,False,2000-05-21_Barbados_Cuba,2000-05-21,Barbados,Cuba,Barbados,unknown
2000-06-07,Iran,Egypt,1,1,Friendly,Tehran,Iran,False,2000-06-07_Iran_Egypt,2000-06-07,Iran,Egypt,Egypt,unknown
2000-10-04,United Arab Emirates,South Korea,1,1,United Arab Emirates Friendship Tournament,Dubai,United Arab Emirates,False,2000-10-04_United Arab Emirates_South Korea,2000-10-04,United Arab Emirates,South Korea,United Arab Emirates,unknown
2000-10-28,Kenya,Uganda,1,1,Friendly,Nairobi,Kenya,False,2000-10-28_Kenya_Uganda,2000-10-28,Kenya,Uganda,Uganda,unknown
2000-12-02,Ethiopia,Rwanda,1,1,Friendly,Kampala,Uganda,True,2000-12-02_Ethiopia_Rwanda,2000-12-02,Ethiopia,Rwanda,Ethiopia,unknown
2001-01-27,South Korea,Paraguay,1,1,Lunar New Year Cup,So Kon Po,Hong Kong,True,2001-01-27_South Korea_Paraguay,2001-01-27,South Korea,Paraguay,South Korea,unknown
2001-08-03,Kuwait,Trinidad and Tobago,1,1,Friendly,Shanghai,China PR,True,2001-08-03_Kuwait_Trinidad and Tobago,2001-08-03,Kuwait,Trinidad and Tobago,Kuwait,unknown
2001-08-05,Kuwait,North Korea,1,1,Friendly,Shanghai,China PR,True,2001-08-05_Kuwait_North Korea,2001-08-05,Kuwait,North Korea,North Korea,unknown
2001-08-18,Zambia,Angola,1,1,COSAFA Cup,Lusaka,Zambia,False,2001-08-18_Zambia_Angola,2001-08-18,Zambia,Angola,Angola,unknown
2002-01-26,Canada,Martinique,1,1,Gold Cup,Miami,United States,True,2002-01-26_Canada_Martinique,2002-01-26,Canada,Martinique,Canada,unknown
2002-02-12,Cyprus,Switzerland,1,1,Cyprus International Tournament,Nicosia,Cyprus,False,2002-02-12_Cyprus_Switzerland,2002-02-12,Cyprus,Switzerland,Cyprus,unknown
2002-05-17,Russia,Belarus,1,1,Friendly,Moscow,Russia,False,2002-05-17_Russia_Belarus,2002-05-17,Russia,Belarus,Belarus,unknown
2002-05-19,Russia,Serbia,1,1,Friendly,Moscow,Russia,False,2002-05-19_Russia_Serbia,2002-05-19,Russia,Serbia,Serbia,unknown
2002-06-16,Spain,Republic of Ireland,1,1,FIFA World Cup,Suwon,South Korea,True,2002-06-16_Spain_Republic of Ireland,2002-06-16,Spain,Republic of Ireland,Spain,Republic of Ireland
2002-09-17,Iran,Morocco,1,1,Friendly,Tabriz,Iran,False,2002-09-17_Iran_Morocco,2002-09-17,Iran,Morocco,Iran,unknown
2002-09-19,Iran,Paraguay,1,1,Friendly,Tabriz,Iran,False,2002-09-19_Iran_Paraguay,2002-09-19,Iran,Paraguay,Iran,unknown
2002-10-23,Kenya,South Africa,1,1,Friendly,Arusha,Tanzania,True,2002-10-23_Kenya_South Africa,2002-10-23,Kenya,South Africa,Kenya,unknown
